expiry,entry_date,rank,structure,mgmt,spot_entry,atm_strike,put_wall,call_wall,legs,short_put,short_call,wing_width,credit_pts,credit_inr,max_loss_inr,nights_held,first_breach_ts,first_breach_side,overlay_trigger_ts,overlay_trigger_side,overlay_trigger_spot,settle_spot,settle_debit_pts,costs_inr,worst_mark_inr,pnl_inr
2026-07-28,2026-07-22,T-4,fly,overlay,24015.0,24000.0,24000.0,24200.0,SC24000@167.5 SP24000@155.3 LC24100@120.25 LP23900@111.95,24000.0,24000.0,100,90.6,5889,611,4,07-22T04:31,C,07-24T04:30,P,23645,23985.3,14.7,850,-24712,-18065
2026-07-28,2026-07-22,T-4,strangle,hold,24015.0,24000.0,24000.0,24200.0,SC24200@82.85 SP24000@155.3,24000.0,24200.0,,238.2,15480,,4,07-22T04:55,P,,,,23985.3,14.7,340,-9885,14187
2026-07-28,2026-07-22,T-4,strangle,overlay,24015.0,24000.0,24000.0,24200.0,SC24200@82.85 SP24000@155.3,24000.0,24200.0,,238.2,15480,,4,07-22T04:55,P,07-24T04:30,P,23645,23985.3,14.7,510,-13127,-8135
2026-07-28,2026-07-22,T-4,straddle,hold,24015.0,24000.0,24000.0,24200.0,SC24000@167.5 SP24000@155.3,24000.0,24000.0,,322.8,20982,,4,07-22T04:31,C,,,,23985.3,14.7,340,-6161,19690
2026-07-28,2026-07-22,T-4,straddle,overlay,24015.0,24000.0,24000.0,24200.0,SC24000@167.5 SP24000@155.3,24000.0,24000.0,,322.8,20982,,4,07-22T04:31,C,07-24T04:30,P,23645,23985.3,14.7,510,-11853,-2632
2026-07-28,2026-07-23,T-3,condor,hold,23940.9,23950.0,23900.0,24000.0,SC24000@107.8 LC24100@70.35 SP23900@111.55 LP23800@74.2,23900.0,24000.0,100,74.8,4862,1638,3,07-23T07:00,P,,,,23985.3,0.0,680,-1324,4182
2026-07-28,2026-07-23,T-3,condor,overlay,23940.9,23950.0,23900.0,24000.0,SC24000@107.8 LC24100@70.35 SP23900@111.55 LP23800@74.2,23900.0,24000.0,100,74.8,4862,1638,3,07-23T07:00,P,07-24T04:30,P,23645,23985.3,0.0,850,-24669,-18140
2026-07-28,2026-07-23,T-3,fly,hold,23940.9,23950.0,23900.0,24000.0,SC23950@131.45 SP23950@135.1 LC24050@87.3 LP23850@91.45,23950.0,23950.0,100,87.8,5707,793,3,07-23T04:31,P,,,,23985.3,35.3,680,-982,2729
2026-07-28,2026-07-23,T-3,fly,overlay,23940.9,23950.0,23900.0,24000.0,SC23950@131.45 SP23950@135.1 LC24050@87.3 LP23850@91.45,23950.0,23950.0,100,87.8,5707,793,3,07-23T04:31,P,07-24T04:30,P,23645,23985.3,35.3,850,-25560,-19593
2026-07-28,2026-07-23,T-3,strangle,hold,23940.9,23950.0,23900.0,24000.0,SC24000@107.8 SP23900@111.55,23900.0,24000.0,,219.3,14258,,3,07-23T07:00,P,,,,23985.3,0.0,340,-7461,13918
2026-07-28,2026-07-23,T-3,strangle,overlay,23940.9,23950.0,23900.0,24000.0,SC24000@107.8 SP23900@111.55,23900.0,24000.0,,219.3,14258,,3,07-23T07:00,P,07-24T04:30,P,23645,23985.3,0.0,510,-16620,-8404
2026-07-28,2026-07-23,T-3,straddle,hold,23940.9,23950.0,23900.0,24000.0,SC23950@131.45 SP23950@135.1,23950.0,23950.0,,266.5,17326,,3,07-23T04:31,P,,,,23985.3,35.3,340,-7480,14688
2026-07-28,2026-07-23,T-3,straddle,overlay,23940.9,23950.0,23900.0,24000.0,SC23950@131.45 SP23950@135.1,23950.0,23950.0,,266.5,17326,,3,07-23T04:31,P,07-24T04:30,P,23645,23985.3,35.3,510,-16416,-7634
2026-07-28,2026-07-24,T-2,condor,hold,23644.5,23650.0,23500.0,24000.0,SC24000@29.15 LC24100@17.9 SP23500@65.95 LP23400@42.6,23500.0,24000.0,100,34.6,2249,4251,2,07-27T08:55,C,,,,23985.3,0.0,680,-1762,1569
2026-07-28,2026-07-24,T-2,condor,overlay,23644.5,23650.0,23500.0,24000.0,SC24000@29.15 LC24100@17.9 SP23500@65.95 LP23400@42.6,23500.0,24000.0,100,34.6,2249,4251,2,07-27T08:55,C,,,,23985.3,0.0,680,-1762,1569
2026-07-28,2026-07-24,T-2,fly,hold,23644.5,23650.0,23500.0,24000.0,SC23650@142.6 SP23650@120.95 LC23750@94.9 LP23550@81.5,23650.0,23650.0,100,87.2,5665,835,2,07-24T04:31,P,,,,23985.3,100.0,680,-1779,-1515
2026-07-28,2026-07-24,T-2,fly,overlay,23644.5,23650.0,23500.0,24000.0,SC23650@142.6 SP23650@120.95 LC23750@94.9 LP23550@81.5,23650.0,23650.0,100,87.2,5665,835,2,07-24T04:31,P,,,,23985.3,100.0,680,-1779,-1515
2026-07-28,2026-07-24,T-2,strangle,hold,23644.5,23650.0,23500.0,24000.0,SC24000@29.15 SP23500@65.95,23500.0,24000.0,,95.1,6182,,2,07-27T08:55,C,,,,23985.3,0.0,340,-1049,5842
2026-07-28,2026-07-24,T-2,strangle,overlay,23644.5,23650.0,23500.0,24000.0,SC24000@29.15 SP23500@65.95,23500.0,24000.0,,95.1,6182,,2,07-27T08:55,C,,,,23985.3,0.0,340,-1049,5842
2026-07-28,2026-07-24,T-2,straddle,hold,23644.5,23650.0,23500.0,24000.0,SC23650@142.6 SP23650@120.95,23650.0,23650.0,,263.6,17131,,2,07-24T04:31,P,,,,23985.3,335.3,340,-9368,-5007
2026-07-28,2026-07-24,T-2,straddle,overlay,23644.5,23650.0,23500.0,24000.0,SC23650@142.6 SP23650@120.95,23650.0,23650.0,,263.6,17131,,2,07-24T04:31,P,,,,23985.3,335.3,340,-9368,-5007
